Area,Year,"Stock, large animals","Stock, cattle","Stock, horse","Stock, donkey","Stock, mule","Stock, camel","Slaughtered, pig","Stock, pig","Stock, goat & sheep","Stock, goat","Stock, sheep","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, birds","Meat Production, livestocks","Meat Production, pig, cattle, goat & sheep","Meat Production, pig","Meat Production, cattle","Meat Production, goat & sheep","Milk Production, total","Milk Production, cow","Wool Production, sheep","Wool Production, sheep, fine","Wool Production, sheep, semi-fine","Wool Production, goat, thick","Wool Production, goat, cashmere","Egg Production, birds",Honey Production
Liaoning,2014,502.2487,361.8,20.4855,105.4936,14.4696,,2839.4,1558.8,793.5,427.4,366.1,283.3,797.5,76814.8,429.2134178,291.95,240.3,42.75,8.9,134.4701,131.2,14977.39,4048.857,10544.263,1468.32957,1062.56296,279.3,0.0706268
Jilin,2014,490.661877,430.911877,30.05,21.83,7.87,,1721.066868,1000.396539,410.819311,54.37464,356.444671,299.6,360,37676.2,261.9674177,190.8397711,140.3510925,45.99027344,4.498405097,49.8339368,49.3056368,14261.43,7469.73,6758.29,666.73,158.31,98.48847566,1.4782
Heilongjiang,2014,536.5774972,502.1857972,23.5557,7.7058,3.1302,,1921.001035,1360.290784,856.8356937,228.1383514,628.6973435,263.6,728.3,19975.4,230.1978249,195.0188147,142.5640761,40.59976476,11.85497384,560.1367324,556.5753324,28375,5434,22941,1487,332,98.16509943,1.9004
Shanghai,2014,5.9,5.9,,,,,243.13,171.68,28.08,26.7,1.38,0.1,39.7,2166,23.3572,19.42,18.83,0.05,0.54,27.05,27.05,10.56,,,174.82,,5.23,0.09327
Jiangsu,2014,34.54,30.59,0.28,2.77,0.9,,3073.6,1799.5,413.8,404.1,9.7,17.6,719.5,75739.6,379.4576075,243.62702,232.35,3.26702,8.01,60.722,60.72,359,87,271,10,,194.58,0.4521
Zhejiang,2014,15.75,15.75,,,,,1724.53,964.64,111.42,40.49,70.93,8.2,103.9,17379,157.1384,129.868,127.008,1.17,1.69,15.9035,15.9,2042.08,,2042.08,295,,39.03,8.7744
Anhui,2014,153.0090964,152.6872964,0.1074,0.1562,0.0582,,3089.1714,1585.34706,642.7476597,641.6784987,1.06916096,124.9,1075.4,71619.1,414.0176556,298.1857038,264.7997058,17.89108056,15.49491744,27.87067133,27.87067133,169,106,63,92,10,122.529192,1.9427
Fujian,2014,67.797,67.7948,0.0022,,,,1990.466579,1149.350968,121.4441,121.4441,,27.4,159.9,39145.1,213.7117749,156.1901754,151.1231754,2.8505,2.2165,15.3614,14.9654,,,,,,25.42244121,1.1722
Jiangxi,2014,305.12,305.12,,,,,3325.67,1738.55,57.34,57.34,,135.8,73.2,45854.2,339.8228294,274.0310957,259.768,13.12616839,1.136927343,12.85,12.85,,,,,,47.81,1.5569
Shandong,2014,511.03567,495.36357,2.504,11.7205,1.4476,,4955.062785,2910.7,2174.561266,1590,584.561266,440.8,3117.8,169396,770.2431744,509.4176665,406.8,66.60592638,36.01174011,289.5899292,279.6,9602.008,1903.414,5696.943,3898.988,834.751,388.02429,0.6399678
Henan,2014,943.8456,918.2,9.893,12.4784,3.2742,,6310,4420,1886,1808,78,546,2088,90087.2,719.0007454,585.5,478,82.1,25.4,342.3722,332,7364.621,816.728,4763.01,4816.537,846.931,404,9.5382813
Hubei,2014,353.1852,352.25,0.5876,0.2595,0.0718,0.0163,4475.11,2550.674415,469.89,469.73,0.15551,152.1,541.9,51635.8,440.4421274,370.0870245,339.6008726,21.87393803,8.612213879,16.41,16.1,4,,4,74,,155.06,2.6504
Hunan,2014,462.1523,456.8,4.4655,0.7125,0.1743,,6220.3,4188.3,529,529,,161.4,676.3,40003.8,546.5242814,488.1,458.1,18.9,11.1,9.3,9.3,,,,5,1,97.9,1.2713
Guangdong,2014,241.9676538,241.9532538,0.0144,,,,3790.783541,2130.103656,39.84,39.84,,58.4,50.4,95128,429.4335469,290.5123069,282.6397445,6.974425458,0.898136934,13.81078399,13.51228399,,,,2,,32.96691061,1.9208
Guangxi,2014,484.677083,448.627083,31.32,0.09,4.64,,3518.006082,2360.31115,201.634384,201.634384,,149.6,205,78288.1,420.0190648,283.9049526,266.289325,14.37589812,3.239729495,9.65435192,9.65435192,,,,,,22.162287,1.3093
Hainan,2014,79.13,79.13,,,,,588.52,412.86,67.97,67.84,0.13,27.2,81.1,13966.9,79.489112,52.252,48.57,2.59,1.092,0.23,0.23,,,,,,3.79,0.086541
Chongqing,2014,143.64,140.66,1.81,0.28,0.89,,2150.83,1483.76,209.58,209.41,0.17,64.3,249.9,23601.3,214.2062896,170.26914,158.54,8.35914,3.37,5.69,5.69,3,,3,,,43.21,1.7854
Sichuan,2014,1082.0455,983.8892,80.1817,7.8937,10.0809,,7445,5000.592465,1750.74793,1529.768413,220.9795169,278.7,1632.7,64667.6,714.7447886,585.8563113,527.1775113,33.3703,25.3085,71.3,70.8118,6232,1733,3303,271,89,145.3452,4.7156
Guizhou,2014,573.57,495.86,74.78,0.22,2.71,,1845.27,1600.57,337.4,318.7,18.7,117.4,220.4,9162.1,201.8053722,183.9823044,165.55,14.68,3.752304356,5.71,5.71,405.2,107.97,297.23,59.79,1.03,16.2,0.254451
