Area,Year,Urban or Rural,Main Grain,"Main Grain, cereal",Edible Oil,"Edible Oil, vegetable",Vegetable & Fungus,Meat of Mammal,Pigmeat,Bovine Meat,Mutton & Goat Meat,Poultry Meat,"Fish, Seafood",Eggs,Milk,Melon & Fruit,Sugar
Yunnan,2015,Rural,149.4,140.5,5.9,4,89.7,29.3,27.6,0.7,0.5,6.8,2.3,4.4,2,16.8,1.1
Xizang,2015,Rural,313.3,304.8,15.1,9.2,13.4,41.7,5.7,29.4,6.4,0,0,1.9,23.1,2,3.5
Shaanxi,2015,Rural,149.1,141.3,10.8,10.6,64.9,11.1,9.4,0.2,0.6,1.4,0.8,6.2,6.5,24.6,0.7
Gansu,2015,Rural,181.3,169.3,8.5,8.4,55.4,15.8,12.5,0.6,2,3.5,0.8,6.4,6.5,35.1,1.7
Qinghai,2015,Rural,138.9,130.8,10.7,9.9,53.3,21.7,10.1,4.1,7,2.7,0.7,2.5,10.5,17,1.5
Ningxia,2015,Rural,148.7,142.4,8.6,8.5,75.4,15,6.8,3,4.7,5.8,1.2,4.8,8.2,52.4,1.2
Xinjiang,2015,Rural,204.1,203,13.9,13.8,90,20.7,1.6,4,14.8,3.4,0.9,5.4,12.9,48.5,0.8
"China, mainland",2016,Rural,157.2,147.1,10.2,9.3,91.5,22.7,18.7,0.9,1.1,7.9,7.5,8.5,6.6,36.8,1.4
Beijing,2016,Rural,102.1,91.9,9.7,9.7,92.7,22.9,14.9,1.6,3.1,4.4,5.7,11.8,13.3,51.5,1.3
Tianjin,2016,Rural,171.1,155.2,12.8,12.6,147.2,21.6,14,0.8,2.4,4.3,12.6,15.5,10.9,78,1.8
Hebei,2016,Rural,138.5,130.3,9.5,9.3,81.7,15.4,10.7,0.4,0.9,3.4,3.9,11.8,8,49.3,1.2
Shanxi,2016,Rural,162.2,145.4,7.8,7.8,68.5,10.4,7.8,0.2,0.9,1.7,1.2,9.3,8.9,35.7,1.1
Neimenggu,2016,Rural,169.9,157.9,8.8,8.5,83.8,28.6,16.8,2,8.4,4.9,3,6.8,13.1,37.2,1.3
Liaoning,2016,Rural,150.9,137.4,11.2,10.9,110.9,21.4,17.8,0.7,0.8,3.4,7.1,10.2,5.1,39.3,1.1
Jilin,2016,Rural,153.3,142.1,11.1,11,93.8,16.8,13.9,0.8,0.5,4.7,5.1,9.2,4.3,36.9,1.1
Heilongjiang,2016,Rural,157.4,142.6,14.9,14.9,71.1,16.8,12.8,0.8,0.8,5.1,5.4,7.2,4.4,42.3,1.8
Shanghai,2016,Rural,130.8,119.3,10.1,9.9,83.9,30.4,23.6,1.5,1,14.1,22.2,10.2,11.8,40,1.7
Jiangsu,2016,Rural,133.9,121.9,11.8,11.6,92,22.3,17.2,1.1,0.8,9.1,14,9.2,10.8,33.2,1.1
Zhejiang,2016,Rural,160.9,146.3,12.1,11.3,90.9,26.6,22.6,1.2,0.5,9.2,18.5,7.6,9.1,38.3,1.7
